# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon May 30 01:49:21 2022
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN sy_dist:        Distance [pc]
#
pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_rade,pl_bmasse,pl_bmassprov,pl_orbeccen,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,sy_dist
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,Imaging,2010,,12.600,2383.60000,Mass,,M8.5,2936.00,0.23,0.02,,,120.4239870
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,Imaging,2004,,12.900,1589.15000,Mass,,M8,2825.00,0.22,0.02,,,64.3080000
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,3,Eclipse Timing Variations,2015,406.00000000,13.400,603.87700,Mass,0.330000,,29564.00,0.20,0.48,-0.092,[Fe/H],396.3320000
2MASS J21402931+1625183 A b,2MASS J21402931+1625183 A,1,1,Imaging,2009,7336.50000000,10.310,6657.48000,Mass,0.260000,M8.5,2300.00,0.12,0.08,,,33.1156898
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,Imaging,2016,,12.300,3972.87500,Mass,,K7 V,4045.00,0.64,0.60,,,69.5737000
30 Ari B b,30 Ari B,4,1,Radial Velocity,2009,335.10001000,12.300,4392.41060,Msini,0.290000,F6 V,6331.00,1.41,1.93,0.190,[Fe/H],44.6570000
4 UMa b,4 UMa,1,1,Radial Velocity,2006,269.30000000,12.700,2256.50000,Msini,0.432000,K1 III,4415.00,18.11,1.23,-0.250,[Fe/H],73.4603000
42 Dra b,42 Dra,2,1,Radial Velocity,2008,479.10000000,13.000,1233.13000,Msini,0.380000,K1.5 III,4200.00,22.03,0.98,-0.460,[Fe/H],90.6545000
47 UMa b,47 UMa,1,3,Radial Velocity,1996,1078.00000000,13.200,804.08000,Msini,0.032000,G0 V,5872.00,1.21,1.06,0.040,[M/H],13.7967000
47 UMa c,47 UMa,1,3,Radial Velocity,2001,2391.00000000,14.200,171.62100,Msini,0.098000,G1 V,5872.00,1.21,1.06,0.040,[M/H],13.7967000
47 UMa d,47 UMa,1,3,Radial Velocity,2009,14002.00000000,13.500,521.22000,Msini,0.160000,G0V,5872.00,1.21,1.06,0.040,[M/H],13.7967000
51 Eri b,51 Eri,3,1,Imaging,2015,11688.00000000,13.400,635.66000,Mass,0.450000,F0 IV,7295.00,1.49,1.75,-0.027,[M/H],29.7575000
51 Peg b,51 Peg,1,1,Radial Velocity,1995,4.23078500,14.300,146.20180,Mass,0.013000,G5V,5758.00,1.18,1.03,0.180,[M/H],15.4614000
55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,14.65160000,13.900,263.97850,Mass,0.000000,K0 IV-V,5172.00,0.94,0.91,0.350,[Fe/H],12.5855000
55 Cnc c,55 Cnc,2,5,Radial Velocity,2004,44.39890000,8.510,54.47380,Mass,0.030000,G8V,5172.00,0.94,0.91,0.350,[Fe/H],12.5855000
55 Cnc d,55 Cnc,2,5,Radial Velocity,2002,5574.20000000,13.000,1232.49300,Mass,0.130000,G8 V,5172.00,0.94,0.91,0.350,[Fe/H],12.5855000
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,0.73654740,1.875,7.99000,Mass,0.050000,G8 V,5172.00,0.94,0.91,0.350,[Fe/H],12.5855000
55 Cnc f,55 Cnc,2,5,Radial Velocity,2007,259.88000000,7.590,44.81200,Mass,0.080000,G8V,5172.00,0.94,0.91,0.350,[Fe/H],12.5855000
6 Lyn b,6 Lyn,1,1,Radial Velocity,2008,934.30000000,13.400,638.83830,Msini,0.073000,K0 IV,4938.00,5.20,1.44,-0.130,[Fe/H],54.6599000
61 Vir b,61 Vir,1,3,Radial Velocity,2009,4.21500000,2.110,5.10000,Msini,0.120000,G5 V,5577.00,0.96,0.94,-0.010,[Fe/H],8.5033200
61 Vir c,61 Vir,1,3,Radial Velocity,2009,38.02100000,4.460,18.20000,Msini,0.140000,G5 V,5577.00,0.96,0.94,-0.010,[Fe/H],8.5033200
61 Vir d,61 Vir,1,3,Radial Velocity,2009,123.01000000,5.110,22.90000,Msini,0.350000,G5 V,5577.00,0.96,0.94,-0.010,[Fe/H],8.5033200
7 CMa b,7 CMa,1,2,Radial Velocity,2011,735.10000000,13.400,587.98550,Msin(i)/sin(i),0.060000,K1 III,4826.00,4.87,1.34,0.210,[Fe/H],19.8101000
7 CMa c,7 CMa,1,2,Radial Velocity,2019,996.00000000,13.900,276.51210,Msin(i)/sin(i),0.080000,K1III(+M),4826.00,4.87,1.34,0.210,[Fe/H],19.8101000
70 Vir b,70 Vir,1,1,Radial Velocity,1996,116.68800000,12.600,2380.45000,Mass,0.398800,G5V,5495.00,1.89,1.09,-0.090,[Fe/H],17.9011000
75 Cet b,75 Cet,2,1,Radial Velocity,2012,691.90000000,13.100,953.49000,Msini,0.117000,G3 III,4846.00,10.50,2.49,0.000,[Fe/H],82.9613000
8 UMi b,8 UMi,1,1,Radial Velocity,2015,93.40000000,13.600,416.35730,Msini,0.060000,K0,4847.00,10.30,1.44,-0.030,[Fe/H],162.5520000
81 Cet b,81 Cet,1,1,Radial Velocity,2008,952.70000000,12.800,1684.40000,Msini,0.206000,G5 III,4785.00,11.00,2.40,-0.060,[Fe/H],101.2600000
91 Aqr b,91 Aqr,3,1,Radial Velocity,2013,181.40000000,13.100,1017.00000,Msini,0.027000,K0 III,4665.00,11.00,1.40,-0.030,[Fe/H],44.0304000
AB Aur b,AB Aur,1,1,Imaging,2022,,12.500,2860.45566,Mass,0.400000,,9770.00,2.96,2.40,,,162.1270000
AB Pic b,AB Pic,1,1,Imaging,2005,,12.300,4290.50000,Mass,,K2 V,5285.00,1.00,0.90,0.040,[Fe/H],50.0475000
AU Mic b,AU Mic,1,2,Transit,2020,8.46299910,4.070,20.12000,Mass,0.186000,M1,3700.00,0.75,0.50,,,9.7221000
AU Mic c,AU Mic,1,2,Transit,2021,18.85899100,3.240,9.60000,Mass,0.041000,M1,3700.00,0.75,0.50,,,9.7221000
BD+03 2562 b,BD+03 2562,1,1,Radial Velocity,2017,481.90000000,12.700,2034.11200,Msini,0.200000,,4095.00,32.35,1.14,-0.710,[Fe/H],1070.6300000
BD+14 4559 b,BD+14 4559,1,1,Radial Velocity,2009,268.94000000,13.800,330.54320,Msini,0.290000,K2 V,4864.00,0.86,0.49,0.170,[Fe/H],49.3520000
BD+15 2375 b,BD+15 2375,1,1,Radial Velocity,2016,153.22000000,13.800,337.21763,Msini,0.001000,G5,4649.00,8.95,1.08,-0.220,[Fe/H],768.0450000
BD+15 2940 b,BD+15 2940,1,1,Radial Velocity,2013,137.48000000,13.700,352.78000,Msini,0.260000,K0,4796.00,14.70,1.10,0.280,[Fe/H],426.4200000
BD+20 2457 b,BD+20 2457,1,2,Radial Velocity,2009,379.63000000,11.600,17668.16970,Msini,0.150000,K2 II,4259.00,71.02,10.83,-0.790,[Fe/H],1539.7100000
BD+20 2457 c,BD+20 2457,1,2,Radial Velocity,2009,621.99000000,12.400,3963.17000,Msini,0.180000,K2 II,4137.00,49.00,2.80,-1.000,[Fe/H],1539.7100000
BD+20 274 b,BD+20 274,1,1,Radial Velocity,2012,578.20000000,13.000,1334.88600,Msini,0.210000,K5 III,4296.00,17.30,0.80,-0.460,[Fe/H],1322.5100000
BD+20 594 b,BD+20 594,1,1,Transit,2016,41.68550000,2.578,22.24810,Mass,0.000000,G,5766.00,1.08,1.67,-0.150,[Fe/H],179.4610000
BD+45 564 b,BD+45 564,1,1,Radial Velocity,2021,307.88000000,13.600,432.24663,Msini,0.120000,K1,5004.00,0.81,0.81,-0.090,[Fe/H],53.6220000
BD+48 738 b,BD+48 738,1,1,Radial Velocity,2011,392.60000000,13.900,289.22530,Msini,0.200000,K0 III,4414.00,11.00,0.74,-0.200,[Fe/H],871.4930000
BD+48 740 b,BD+48 740,1,1,Radial Velocity,2018,733.00000000,13.500,540.31100,Msini,0.760000,K3 III,4534.00,10.33,1.09,-0.130,[Fe/H],666.5890000
BD+49 828 b,BD+49 828,1,1,Radial Velocity,2015,2590.00000000,13.500,508.50000,Msini,0.350000,K0,4943.00,7.60,1.52,-0.190,[Fe/H],442.0420000
BD+55 362 b,BD+55 362,1,1,Radial Velocity,2021,265.59000000,14.000,228.83645,Msini,0.270000,K3,5012.00,0.90,0.91,0.180,[Fe/H],52.5697000
BD+60 1417 b,BD+60 1417,1,1,Imaging,2021,,14.684,4767.42610,Mass,,K0,4993.00,0.80,1.00,,,44.9543000
BD+63 1405 b,BD+63 1405,1,1,Radial Velocity,2021,1198.48000000,13.000,1258.60049,Msini,0.880000,K0,5000.00,0.80,0.82,-0.090,[Fe/H],38.0473000
BD-00 4475 b,BD-00 4475,1,1,Radial Velocity,2021,723.20000000,12.000,7961.60160,Msini,0.390000,G0,5040.00,0.84,0.81,-0.140,[Fe/H],42.6402000
BD-06 1339 b,BD-06 1339,1,2,Radial Velocity,2013,3.87280000,2.850,8.50000,Msini,0.000000,K7/M0 V,4324.00,0.69,0.70,-0.140,[Fe/H],20.2695000
BD-06 1339 c,BD-06 1339,1,2,Radial Velocity,2013,125.94000000,8.380,53.00000,Msini,0.310000,K7/M0 V,4324.00,0.69,0.70,-0.140,[Fe/H],20.2695000
BD-08 2823 b,BD-08 2823,1,2,Radial Velocity,2009,5.60000000,3.610,12.71320,Msini,0.150000,K3 V,4816.00,0.71,0.50,-0.060,[Fe/H],41.3342000
BD-08 2823 c,BD-08 2823,1,2,Radial Velocity,2009,237.60000000,12.500,104.00000,Msini,0.190000,K3 V,4746.00,0.72,0.74,-0.070,[Fe/H],41.3342000
BD-10 3166 b,BD-10 3166,1,1,Radial Velocity,2000,3.48777000,14.100,187.51970,Msini,0.020000,K0 V,5393.00,0.91,1.47,0.380,[Fe/H],84.4069000
BD-11 4672 b,BD-11 4672,1,2,Radial Velocity,2014,1634.00000000,14.100,206.58950,Msini,0.050000,K7 V,4550.00,0.64,0.65,-0.350,[Fe/H],27.1665000
BD-11 4672 c,BD-11 4672,1,2,Radial Velocity,2020,74.20000000,4.040,15.37000,Msini,0.400000,K7V,4550.00,0.64,0.65,-0.350,[Fe/H],27.1665000
BD-13 2130 b,BD-13 2130,1,1,Radial Velocity,2007,714.29999000,12.500,3108.37740,Msini,0.210000,G5 IV/V,4545.00,19.17,2.12,-0.080,[Fe/H],925.2140000
BD-17 63 b,BD-17 63,1,1,Radial Velocity,2008,655.60000000,12.800,1620.90000,Msini,0.540000,K5 V,4714.00,0.69,0.74,-0.030,[Fe/H],34.4603000
CD Cet b,CD Cet,1,1,Radial Velocity,2020,2.29070000,1.820,3.95000,Msini,,M5.0 V,3130.00,0.17,0.16,0.130,[Fe/H],8.6071500
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,1,1,Imaging,2011,10037.50000000,12.400,3337.10000,Mass,,,580.50,,0.02,,,23.1000000
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,1,1,Imaging,2021,8040000.00000000,20.849,2479.06157,Mass,,M9-L1,2320.00,0.24,0.01,,,
CHXR 73 b,CHXR 73,1,1,Imaging,2006,,12.300,3994.48600,Mass,,M3.5,3099.00,,0.35,,,190.3740000
CI Tau b,CI Tau,1,1,Radial Velocity,2019,8.98910000,12.400,3686.82800,Mass,0.250000,K7,3807.00,1.88,0.90,,,157.9980000
COCONUTS-2 b,COCONUTS-2 A,1,1,Imaging,2021,402000000.00000000,12.442,2002.31896,Mass,,M3 V,3406.00,0.39,0.37,0.000,[Fe/H],10.8864000
CT Cha b,CT Cha,1,1,Imaging,2007,,24.660,5403.00000,Mass,,K5e,4403.00,1.68,,-0.560,[Fe/H],190.7200000
CoRoT-1 b,CoRoT-1,1,1,Transit,2008,1.50895570,16.700,327.35000,Mass,0.000000,G0 V,5950.00,1.11,0.95,-0.300,[M/H],787.9090000
CoRoT-10 b,CoRoT-10,1,1,Transit,2010,13.24060000,10.870,874.00000,Mass,0.530000,K1 V,5075.00,0.79,0.89,0.260,[Fe/H],338.3860000
CoRoT-11 b,CoRoT-11,1,1,Transit,2010,2.99433000,16.030,740.51000,Mass,0.000000,F6 V,6440.00,1.37,1.27,-0.030,[Fe/H],655.0370000
CoRoT-12 b,CoRoT-12,1,1,Transit,2010,2.82804200,16.140,291.43800,Mass,0.070000,,5675.00,1.12,1.08,0.160,[Fe/H],1126.3700000
CoRoT-13 b,CoRoT-13,1,1,Transit,2010,4.03519000,9.920,415.70400,Mass,0.000000,G0 V,5945.00,1.01,1.09,0.010,[Fe/H],1148.9300000
CoRoT-14 b,CoRoT-14,1,1,Transit,2010,1.51214000,12.220,2415.40000,Mass,0.000000,F9 V,6035.00,1.21,1.13,0.050,[Fe/H],1744.6000000
CoRoT-16 b,CoRoT-16,1,1,Transit,2011,5.35227000,13.110,170.03200,Mass,0.330000,G5 V,5650.00,1.19,1.10,0.190,[M/H],732.4090000
CoRoT-17 b,CoRoT-17,1,1,Transit,2011,3.76810000,11.430,772.29000,Mass,0.000000,G2 V,5740.00,1.59,1.04,0.000,[Fe/H],1176.1200000
CoRoT-18 b,CoRoT-18,1,1,Transit,2011,1.90006930,14.680,1102.82000,Mass,0.080000,G9 V,5440.00,1.00,0.95,-0.100,[Fe/H],764.8890000
CoRoT-19 b,CoRoT-19,1,1,Transit,2011,3.89713000,14.460,352.78000,Mass,0.047000,F9 V,6090.00,1.65,1.21,-0.020,[Fe/H],790.6630000
CoRoT-2 b,CoRoT-2,2,1,Transit,2008,1.74299350,16.432,1102.82000,Mass,0.014300,,5625.00,0.91,0.96,0.040,[Fe/H],213.2830000
CoRoT-20 b,CoRoT-20,1,2,Transit,2011,9.24285000,9.416,1366.66900,Mass,0.590000,G2 V,5880.00,1.02,1.14,0.140,,844.0610000
CoRoT-20 c,CoRoT-20,1,2,Radial Velocity,2018,1675.00000000,12.200,5403.11000,Msini,0.600000,G2 V,4947.50,1.37,1.14,0.140,,844.0610000
CoRoT-21 b,CoRoT-21,1,1,Transit,2012,2.72474000,14.572,718.29580,Mass,0.000000,F8 IV,6200.00,1.95,1.29,0.000,[Fe/H],1398.8341969
CoRoT-22 b,CoRoT-22,1,1,Transit,2014,9.75598000,4.880,12.20000,Mass,0.077000,G3 V,5939.00,1.14,1.10,0.170,[Fe/H],627.1580000
CoRoT-23 b,CoRoT-23,1,1,Transit,2011,3.63130000,11.770,889.90000,Mass,0.160000,G0 V,5900.00,1.61,1.14,0.050,[Fe/H],1060.9700000
CoRoT-24 b,CoRoT-24,1,2,Transit,2014,5.11340000,3.700,5.70000,Mass,0.000000,K1 V,4950.00,0.86,0.91,0.300,[Fe/H],591.5550000
CoRoT-24 c,CoRoT-24,1,2,Transit,2014,11.75900000,5.000,28.00000,Mass,0.000000,K1 V,4950.00,0.86,0.91,0.300,[Fe/H],591.5550000
CoRoT-25 b,CoRoT-25,1,1,Transit,2013,4.86069000,12.110,85.81000,Mass,0.000000,F9,6040.00,1.19,1.09,-0.010,[Fe/H],1103.4800000
CoRoT-26 b,CoRoT-26,1,1,Transit,2013,4.20474000,14.120,165.26000,Mass,0.000000,G5,5590.00,1.79,1.09,0.010,[Fe/H],1045.1800000
CoRoT-27 b,CoRoT-27,1,1,Transit,2014,3.57532000,11.287,3302.11000,Mass,0.065000,G2,5900.00,1.08,1.05,-0.100,[M/H],1010.2800000
CoRoT-28 b,CoRoT-28,1,1,Transit,2015,5.20851000,10.705,153.82972,Mass,0.047000,G8/9 IV,5150.00,1.78,1.01,0.150,[Fe/H],766.1830000
CoRoT-29 b,CoRoT-29,1,1,Transit,2015,2.85057000,10.088,270.15550,Mass,0.082000,K0 V,5260.00,0.90,0.97,0.200,[Fe/H],806.5070000
CoRoT-3 b,CoRoT-3,1,1,Transit,2008,4.25680000,11.320,6883.91000,Mass,0.000000,F3 V,6740.00,1.56,1.37,0.140,[Fe/H],768.7710000
CoRoT-30 b,CoRoT-30,1,1,Transit,2020,9.06005000,11.310,921.70700,Mass,0.007000,G3 V,5650.00,0.91,0.98,0.020,[Fe/H],1032.2300000
CoRoT-31 b,CoRoT-31,1,1,Transit,2020,4.62941000,16.365,266.97720,Mass,0.020000,G2 IV,5700.00,2.15,1.25,0.000,[Fe/H],2005.7600000
CoRoT-4 b,CoRoT-4,1,1,Transit,2008,9.20205000,13.340,228.83000,Mass,0.000000,,6190.00,1.17,1.16,0.050,,726.4120000
CoRoT-5 b,CoRoT-5,1,1,Transit,2009,4.03789620,15.558,148.42000,Mass,0.090000,F9 V,6100.00,1.19,1.00,-0.250,[M/H],882.4720000
CoRoT-6 b,CoRoT-6,1,1,Transit,2009,8.88659300,13.068,940.74000,Mass,0.100000,F9 V,6090.00,1.02,1.05,-0.200,[Fe/H],645.2940000
CoRoT-7 b,CoRoT-7,1,2,Transit,2009,0.85359163,1.681,4.07661,Mass,0.000000,G9 V,5275.00,0.83,0.82,0.050,[Fe/H],159.9060000
CoRoT-7 c,CoRoT-7,1,2,Radial Velocity,2009,3.69800000,2.830,8.40000,Mass,0.000000,G9 V,5256.00,0.86,0.90,0.060,[M/H],159.9060000
CoRoT-8 b,CoRoT-8,1,1,Transit,2010,6.21229000,6.390,69.92000,Mass,0.000000,K1 V,5080.00,0.77,0.88,0.300,[M/H],322.0370000
CoRoT-9 b,CoRoT-9,2,1,Transit,2009,95.27265600,11.949,266.97720,Mass,0.133000,G3 V,5625.00,0.96,0.96,-0.010,[Fe/H],412.9800000
CoRoTID 223977153 b,CoRoTID 223977153,1,1,Transit,2017,6.71837000,6.389,47.67450,Mass,,G0 VI,5970.00,0.79,1.08,0.000,[Fe/H],576.6830000
DE CVn b,DE CVn,2,1,Eclipse Timing Variations,2018,4098.10000000,12.400,3823.27330,Msin(i)/sin(i),0.000000,,3579.00,0.42,0.51,,,30.5225000
DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,1,1,Astrometry,2013,246.36000000,11.900,9057.77000,Mass,0.345000,L1.5,,,0.07,,,20.7700000
DH Tau b,DH Tau,1,1,Imaging,2004,,30.264,3496.00000,Mass,,M0.5,4371.00,0.27,0.33,,,134.8460000
DMPP-1 b,DMPP-1,1,4,Radial Velocity,2019,18.57000000,5.290,24.27000,Msini,0.083000,F8 V,6196.00,1.26,1.21,,,62.5388000
DMPP-1 c,DMPP-1,1,4,Radial Velocity,2019,6.58400000,3.060,9.60000,Msini,0.057000,F8 V,6196.00,1.26,1.21,,,62.5388000
DMPP-1 d,DMPP-1,1,4,Radial Velocity,2019,2.88200000,1.650,3.35000,Msini,0.070000,F8 V,6196.00,1.26,1.21,,,62.5388000
DMPP-1 e,DMPP-1,1,4,Radial Velocity,2019,5.51600000,1.860,4.13000,Msini,0.070000,F8 V,6196.00,1.26,1.21,,,62.5388000
DMPP-2 b,DMPP-2,1,1,Radial Velocity,2019,5.20720000,14.300,138.89171,Msini,0.078000,F5 V,6500.00,1.78,1.44,,,137.9400000
DMPP-3 A b,DMPP-3 A,2,1,Radial Velocity,2019,6.67320000,1.410,2.58000,Msini,0.140000,K0 V,5138.00,0.91,0.87,0.180,[Fe/H],45.2300000
DP Leo b,DP Leo,2,1,Eclipse Timing Variations,2009,10220.00000000,12.700,1995.88832,Mass,0.390000,,13500.00,0.01,0.69,,,305.6840000
DS Tuc A b,DS Tuc A,2,1,Transit,2019,8.13826800,5.700,413.17900,Mass,0.000000,G6 V,5428.00,0.96,1.01,0.000,,44.0622000
EPIC 201170410.02,EPIC 201170410,1,1,Transit,2020,6.79870000,1.047,1.15000,M-R relationship,0.000000,,3648.00,0.28,0.29,-0.048,[Fe/H],134.0000000
EPIC 201238110 b,EPIC 201238110,1,1,Transit,2019,28.16560000,1.870,4.16000,M-R relationship,,,3587.00,0.37,0.41,,,159.2590000
EPIC 201427007 b,EPIC 201427007,1,1,Transit,2021,0.72091000,1.500,2.86000,M-R relationship,,,5633.00,0.94,0.93,-0.053,[Fe/H],706.3910000
EPIC 201497682 b,EPIC 201497682,1,1,Transit,2019,2.13174000,0.692,0.26000,M-R relationship,,,4991.00,0.55,0.78,-0.089,[M/H],253.0260000
EPIC 201595106 b,EPIC 201595106,1,1,Transit,2021,0.87721400,1.300,2.24000,M-R relationship,,,5820.00,0.93,1.02,-0.010,[Fe/H],232.1000000
EPIC 201615463 c,K2-166,1,2,Transit,2019,3.80464000,1.220,1.98000,M-R relationship,,,5942.50,1.60,1.07,-0.051,[M/H],476.8820000
EPIC 201754305 d,K2-16,1,3,Transit,2019,2.71578000,1.030,1.08000,M-R relationship,,K3 V,4761.00,0.54,0.67,-0.330,[Fe/H],334.9670000
EPIC 201757695.02,EPIC 201757695,1,1,Transit,2020,2.04780000,0.908,0.68800,M-R relationship,0.000000,,4520.00,0.66,0.73,-0.003,[Fe/H],577.6000000
EPIC 201833600 c,K2-50,1,2,Transit,2019,3.96151000,1.000,0.97200,M-R relationship,,,4292.67,0.63,0.61,-0.113,[M/H],257.4430000
EPIC 201841433 b,EPIC 201841433,1,1,Transit,2019,4.16980000,1.040,1.12000,M-R relationship,,,5053.00,0.63,0.80,0.000,[Fe/H],436.4880000
EPIC 205950854 c,K2-168,1,2,Transit,2019,8.05072200,1.310,2.27000,M-R relationship,,,5502.70,0.83,0.88,-0.130,[Fe/H],243.9350000
EPIC 206024342 b,EPIC 206024342,1,3,Transit,2019,4.50756000,1.700,3.53000,M-R relationship,,,5724.00,0.82,0.93,-0.220,[Fe/H],369.8880000
EPIC 206024342 c,EPIC 206024342,1,3,Transit,2021,0.91172400,1.400,2.54000,M-R relationship,,,5724.00,1.10,0.93,-0.220,[Fe/H],369.8880000
EPIC 206024342 d,EPIC 206024342,1,3,Transit,2021,14.64753100,2.600,7.27000,M-R relationship,,,5724.00,1.10,0.93,-0.220,[Fe/H],369.8880000
EPIC 206032309 b,EPIC 206032309,1,1,Transit,2019,2.87814000,1.010,1.01000,M-R relationship,,,3489.00,0.37,0.22,,,161.3650000
EPIC 206042996 b,EPIC 206042996,1,2,Transit,2019,5.29860000,1.700,3.53000,M-R relationship,,,4114.00,0.50,0.57,0.006,[Fe/H],451.7690000
EPIC 206042996 c,EPIC 206042996,1,2,Transit,2021,0.35488400,1.200,1.87000,M-R relationship,,,4114.00,0.50,0.57,0.006,[Fe/H],451.7690000
EPIC 206215704 b,EPIC 206215704,1,1,Transit,2019,2.25543600,1.000,0.97200,M-R relationship,,,3297.00,0.25,0.41,-0.330,[Fe/H],109.8880000
EPIC 206317286 b,EPIC 206317286,1,2,Transit,2019,1.58252000,0.960,0.84000,M-R relationship,,,4864.00,0.67,0.71,0.019,[Fe/H],314.3500000
EPIC 206317286 c,EPIC 206317286,1,2,Transit,2022,17.51547200,2.094,5.03000,M-R relationship,,,4752.00,0.76,0.83,0.019,[Fe/H],314.3500000
EPIC 211822797 b,EPIC 211822797,1,1,Transit,2016,21.17019630,1.920,4.35000,M-R relationship,0.060000,M0,4057.00,0.58,0.62,0.200,[Fe/H],186.1970000
EPIC 211945201 b,EPIC 211945201,1,1,Transit,2018,19.49221000,5.760,27.00000,Mass,0.000000,G0,6069.00,1.39,1.17,0.100,[Fe/H],181.6900000
